,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,isolate,host,isolation_source,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,source_uvig,virus_enrich_appr,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,collected_by,sequenced_by,BioSampleModel,purpose_of_ww_sampling,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_processing_protocol,concentration_method,extraction_method,ww_surv_target_1,ww_surv_target_1_known_present,amplicon_PCR_primer_scheme,sample,fasta_file,collection_site_id,ww_population_source,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,ww_primary_sludge_retention_time,geo_loc_ENA,site id
ERR9862777,2022-06-20,2022-06-20,SAMEA110150296,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:39Z,2022-06-20T04:17:39Z,public,12_2021_04_09,2021-04-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862777,ERX9407855,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,cPjpJTxqqwHH
ERR9862797,2022-06-20,2022-06-20,SAMEA110150316,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:29Z,2022-06-20T04:17:29Z,public,05_2021_04_09,2021-04-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862797,ERX9407875,,,,,,,Switzerland: TI - Lugano - CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: TI - Lugano - CDA Lugano,DbVNYFgfttCD
ERR9862842,2022-06-20,2022-06-20,SAMEA110150361,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,19_2021_04_09,2021-04-09,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862842,ERX9407920,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,WFkcdbxxH8cK
ERR9862835,2022-06-20,2022-06-20,SAMEA110150354,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,25_2021_04_09,2021-04-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862835,ERX9407913,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,Hu5yCrjhBVkZ
ERR9862850,2022-06-20,2022-06-20,SAMEA110150369,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,17_2021_04_09,2021-04-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862850,ERX9407928,,,,,,,Switzerland: GR - Chur - ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: GR - Chur - ARA Chur,AbwAjPQvUPxy
ERR9862848,2022-06-20,2022-06-20,SAMEA110150367,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,12_2021_04_08,2021-04-08,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862848,ERX9407926,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,cPjpJTxqqwHH
ERR9862785,2022-06-20,2022-06-20,SAMEA110150304,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:39Z,2022-06-20T04:17:39Z,public,05_2021_04_08,2021-04-08,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862785,ERX9407863,,,,,,,Switzerland: TI - Lugano - CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: TI - Lugano - CDA Lugano,DbVNYFgfttCD
ERR9862833,2022-06-20,2022-06-20,SAMEA110150352,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_08,2021-04-08,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862833,ERX9407911,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,WFkcdbxxH8cK
ERR9862840,2022-06-20,2022-06-20,SAMEA110150359,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,17_2021_04_08,2021-04-08,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862840,ERX9407918,,,,,,,Switzerland: GR - Chur - ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: GR - Chur - ARA Chur,AbwAjPQvUPxy
ERR9862825,2022-06-20,2022-06-20,SAMEA110150344,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,25_2021_04_08,2021-04-08,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_08,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862825,ERX9407903,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,Hu5yCrjhBVkZ
ERR9862823,2022-06-20,2022-06-20,SAMEA110150342,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,19_2021_04_07,2021-04-07,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862823,ERX9407901,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,WFkcdbxxH8cK
ERR9862815,2022-06-20,2022-06-20,SAMEA110150334,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,25_2021_04_07,2021-04-07,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862815,ERX9407893,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,Hu5yCrjhBVkZ
ERR9862846,2022-06-20,2022-06-20,SAMEA110150365,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,10_2021_04_07,2021-04-07,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862846,ERX9407924,,,,,,,Switzerland: ZH - Zürich - ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: ZH - Zürich - ARA Werdhölzli,CRHmLs52ev4j
ERR9862838,2022-06-20,2022-06-20,SAMEA110150357,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,12_2021_04_07,2021-04-07,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862838,ERX9407916,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,cPjpJTxqqwHH
ERR9862831,2022-06-20,2022-06-20,SAMEA110150350,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,17_2021_04_07,2021-04-07,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862831,ERX9407909,,,,,,,Switzerland: GR - Chur - ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: GR - Chur - ARA Chur,AbwAjPQvUPxy
ERR9862773,2022-06-20,2022-06-20,SAMEA110150292,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,05_2021_04_07,2021-04-07,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_07,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862773,ERX9407851,,,,,,,Switzerland: TI - Lugano - CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: TI - Lugano - CDA Lugano,DbVNYFgfttCD
ERR9862425,2022-06-20,2022-06-20,SAMEA110149944,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,10_2021_04_06,2021-04-06,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862425,ERX9407503,,,,,,,Switzerland: ZH - Zürich - ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: ZH - Zürich - ARA Werdhölzli,CRHmLs52ev4j
SRR23702812,,,,,,,,,,2021-04-06,,,,,,,,,,,,,,,,,SRR23702812,SRX19564533,,,urban wastewater treatment facility,,,,"South Africa: Daspoort Wastewater, Tshwane , Gauteng",,,,,0,raw wastewater,grab,NICD,,SARS-CoV-2: wastewater surveillance,,,,,,,,SARS-CoV-2,yes,,21-0134,NC_045512_Hu-1.fasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,99SzuxZHqZfb
ERR9862498,2022-06-20,2022-06-20,SAMEA110150017,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,12_2021_04_06,2021-04-06,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862498,ERX9407576,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,cPjpJTxqqwHH
SRR23702975,,,,,,,,,,2021-04-06,,,,,,,,,,,,,,,,,SRR23702975,SRX19564371,,,urban wastewater treatment facility,,,,"South Africa: Northern Wastewater, Johannesburg, Gauteng",,,,,0,raw wastewater,grab,NICD,,SARS-CoV-2: wastewater surveillance,,,,,,,,SARS-CoV-2,yes,,21-0128,NC_045512_Hu-1.fasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,FCKt69WYJV8Q
SRR23702974,,,,,,,,,,2021-04-06,,,,,,,,,,,,,,,,,SRR23702974,SRX19564372,,,urban wastewater treatment facility,,,,"South Africa: Hartebeesfontein Waterworks, Ekurhuleni, Gauteng",,,,,0,raw wastewater,grab,NICD,,SARS-CoV-2: wastewater surveillance,,,,,,,,SARS-CoV-2,yes,,21-0129,NC_045512_Hu-1.fasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,RUkKNdjqTGHj
ERR9862665,2022-06-20,2022-06-20,SAMEA110150184,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_06,2021-04-06,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862665,ERX9407743,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,WFkcdbxxH8cK
ERR9862579,2022-06-20,2022-06-20,SAMEA110150098,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,17_2021_04_06,2021-04-06,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862579,ERX9407657,,,,,,,Switzerland: GR - Chur - ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: GR - Chur - ARA Chur,AbwAjPQvUPxy
ERR9862751,2022-06-20,2022-06-20,SAMEA110150270,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,25_2021_04_06,2021-04-06,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_06,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862751,ERX9407829,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,Hu5yCrjhBVkZ
ERR9862497,2022-06-20,2022-06-20,SAMEA110150016,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,12_2021_04_05,2021-04-05,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862497,ERX9407575,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,cPjpJTxqqwHH
ERR9862664,2022-06-20,2022-06-20,SAMEA110150183,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_05,2021-04-05,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862664,ERX9407742,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,WFkcdbxxH8cK
ERR9862750,2022-06-20,2022-06-20,SAMEA110150269,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,25_2021_04_05,2021-04-05,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862750,ERX9407828,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,Hu5yCrjhBVkZ
ERR9862424,2022-06-20,2022-06-20,SAMEA110149943,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,10_2021_04_05,2021-04-05,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862424,ERX9407502,,,,,,,Switzerland: ZH - Zürich - ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: ZH - Zürich - ARA Werdhölzli,CRHmLs52ev4j
ERR9862578,2022-06-20,2022-06-20,SAMEA110150097,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,17_2021_04_05,2021-04-05,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_05,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862578,ERX9407656,,,,,,,Switzerland: GR - Chur - ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: GR - Chur - ARA Chur,AbwAjPQvUPxy
ERR9862663,2022-06-20,2022-06-20,SAMEA110150182,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_04,2021-04-04,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862663,ERX9407741,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,WFkcdbxxH8cK
ERR9862423,2022-06-20,2022-06-20,SAMEA110149942,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,10_2021_04_04,2021-04-04,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862423,ERX9407501,,,,,,,Switzerland: ZH - Zürich - ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: ZH - Zürich - ARA Werdhölzli,CRHmLs52ev4j
ERR9862577,2022-06-20,2022-06-20,SAMEA110150096,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,17_2021_04_04,2021-04-04,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862577,ERX9407655,,,,,,,Switzerland: GR - Chur - ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: GR - Chur - ARA Chur,AbwAjPQvUPxy
ERR9862749,2022-06-20,2022-06-20,SAMEA110150268,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,25_2021_04_04,2021-04-04,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_04,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862749,ERX9407827,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,Hu5yCrjhBVkZ
ERR9862662,2022-06-20,2022-06-20,SAMEA110150181,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_03,2021-04-03,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_03,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862662,ERX9407740,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: SG - Altenrhein - ARA Altenrhein,WFkcdbxxH8cK
ERR9862748,2022-06-20,2022-06-20,SAMEA110150267,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,25_2021_04_03,2021-04-03,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_03,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862748,ERX9407826,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: BE - Laupen - ARA Sensetal,Hu5yCrjhBVkZ
ERR9862495,2022-06-20,2022-06-20,SAMEA110150014,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,12_2021_04_03,2021-04-03,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_03,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-16,ERR9862495,ERX9407573,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland: VD - Lausanne - STEP Vidy,cPjpJTxqqwHH
